Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
volume_sn_voxels::v1641,0.0004358019505161792,0.000612680974882096,2.146079896192532e-05,-0.00010619659587973729,-0.0001921160437632352,-5.993460217723623e-05,-1.259753480553627e-05,0.00027223958750255406,-0.00023013721511233598,0.0007334747351706028
volume_sn_voxels::v1642,0.00047301853192038834,0.0005616256967186928,0.00010978561476804316,-0.00011427456774981692,-0.00014458349323831499,-0.00035738953738473356,3.665814074338414e-05,0.0002270830882480368,-0.0001877530012279749,0.0007576887728646398
volume_sn_voxels::v1643,0.0005375612527132034,0.0005769243580289185,0.00014890664897393435,-0.00010469226981513202,-8.123058796627447e-05,-0.000629425048828125,7.42996417102404e-05,0.00015224178787320852,-0.0001767283392837271,0.0007561551174148917
volume_sn_voxels::v1644,0.0005301317432895303,0.0005646399804390967,0.0001879599440144375,-9.0550965978764e-05,-3.266317435191013e-05,-0.0007499601924791932,0.0001263258163817227,6.302977271843702e-05,-0.00019263953436166048,0.0006808381294831634
volume_sn_voxels::v1645,0.0005424615228548646,0.000520857865922153,0.0002737260074354708,-0.0001229392655659467,-6.028962161508389e-05,-0.0007268957560881972,0.00019631488248705864,4.108219582121819e-05,-0.0002680419129319489,0.0004893986042588949
volume_sn_voxels::v1646,0.0005079911788925529,0.00044605354196392,0.0004848660610150546,-0.0002619250735733658,-0.0001377857115585357,-0.0004649820039048791,0.0001976208877749741,9.888665954349563e-05,-0.00044176095980219543,0.00011910547618754208
volume_sn_voxels::v1647,0.00041034328751266,0.0002946629247162491,0.00056538573699072,-0.00034980327473022044,-0.00016262494318652898,-0.00012646877439692616,0.000136064481921494,0.00016001098265405744,-0.0005718928878195584,-0.00023541270638816059
volume_sn_voxels::v1648,0.0002972133515868336,0.00018403241119813174,0.0005955309607088566,-0.0003401717694941908,-0.00012841941497754306,4.183648343314417e-05,7.921671931399032e-05,9.354163194075227e-05,-0.0006490200175903738,-0.00036257458850741386
volume_sn_voxels::v1649,0.00018024399469140917,0.0006696356576867402,-0.0002590263029560447,0.0006614027661271393,6.872040830785409e-05,0.0008903658017516136,0.00035840115742757916,0.00015965350030455738,0.00017826096154749393,0.0005287656094878912
volume_sn_voxels::v1650,0.000237790314713493,0.0006729844026267529,-0.00021653732983395457,0.0003590071573853493,3.9255305637198035e-06,0.0004929118440486491,0.00012189134577056393,0.0001417542080162093,6.883074820507318e-05,0.0006481857853941619
volume_sn_voxels::v1651,0.00034333288203924894,0.0007087448029778898,-0.00015770411118865013,0.0001540932134957984,-4.1444302041782066e-05,6.261764792725444e-05,4.8243877245113254e-05,0.0001188415044452995,7.790003110130783e-06,0.0008581704460084438
volume_sn_voxels::v1652,0.00039114058017730713,0.0006357308011502028,-6.223427772056311e-05,5.2840834541711956e-05,-3.2206502510234714e-05,-0.00033405324211344123,7.002790516708046e-05,5.497849633684382e-05,-2.006893919315189e-05,0.0008726731757633388
volume_sn_voxels::v1653,0.0004607864539138973,0.0006426908075809479,-5.612047971226275e-06,3.7976067687850446e-05,3.3532392080815043e-06,-0.0007147720316424966,9.150675032287836e-05,-3.6753331187355798e-06,-3.20892759191338e-05,0.0009279404766857624
volume_sn_voxels::v1654,0.00046356511302292347,0.0006319461390376091,6.787748134229332e-05,5.091380080557428e-05,5.516715827980079e-05,-0.0009403834701515734,0.00010475613817106932,-6.439971184590831e-05,-6.603200017707422e-05,0.0008571939542889595
volume_sn_voxels::v1655,0.0005004759877920151,0.0006461720331571996,0.00014293099229689687,3.167325849062763e-05,6.449261854868382e-05,-0.0011127868201583624,0.00011865347914863378,-9.559164027450606e-05,-0.00018661620561033487,0.000704232428688556
volume_sn_voxels::v1656,0.0004962068051099777,0.0005518204416148365,0.00029669073410332203,-9.046287595992908e-05,-3.3117426028184127e-06,-0.0010149588342756033,0.0001176565419882536,-1.901212817756459e-05,-0.0003848248743452132,0.00037255961797200143
volume_sn_voxels::v1657,0.0004677277756854892,0.00044896441977471113,0.0005011897883377969,-0.00031577018671669066,-8.103410073090345e-05,-0.0006935554556548595,6.063012551749125e-05,8.88152135303244e-05,-0.0006900299340486526,-4.716435796581209e-05
volume_sn_voxels::v1658,0.0003882903838530183,0.0003090206882916391,0.0007021980127319694,-0.0005041026161052287,-5.0530685257399455e-05,-0.0003271512396167964,-7.576929419883527e-06,0.00021257504704408348,-0.0009788844035938382,-0.00040954211726784706
volume_sn_voxels::v1659,0.00030267282272689044,0.0001966000272659585,0.0007432267302647233,-0.0005689054378308356,9.448691344005056e-06,-0.00012108986265957355,-1.7022037354763597e-05,0.00020198793208692223,-0.0011351305292919278,-0.0005225272616371512
volume_sn_voxels::v1660,0.0002772654697764665,0.00017128358012996614,0.0008012230391614139,-0.0004872725112363696,0.00011009744775947183,-5.919780960539356e-05,6.868324271636084e-05,6.796383968321607e-05,-0.0012623101938515902,-0.00044827559031546116
volume_sn_voxels::v1661,0.00021555715647991747,0.00014928480959497392,0.000729881227016449,-0.00032509973971173167,0.00023935885110404342,-8.540968701709062e-05,0.0002254158171126619,-8.808781421976164e-05,-0.0013070645509287715,-0.00022491218987852335
volume_sn_voxels::v1662,0.00019101345969829708,0.0005524136940948665,-0.00028714045765809715,0.0006160307675600052,2.84330435533775e-05,0.0007896034512668848,0.0004959105281159282,0.00021765190467704087,0.0002792604500427842,0.0005441037937998772
