Feature,Factor_0,Factor_1
volume_sn_voxels::v290,-1.287817,0.7600089
volume_sn_voxels::v291,-1.3302627,0.7230357
volume_sn_voxels::v292,-1.2803885,0.45015594
volume_sn_voxels::v293,-1.1779182,0.93619657
volume_sn_voxels::v294,-1.2137512,0.9934066
volume_sn_voxels::v295,-1.3935981,0.9049646
volume_sn_voxels::v296,-1.4298564,0.6994986
volume_sn_voxels::v297,-1.3419526,0.25796857
volume_sn_voxels::v298,-1.2791417,0.865724
volume_sn_voxels::v299,-1.2662991,0.9313609
volume_sn_voxels::v300,-1.3368329,1.0414842
volume_sn_voxels::v301,-1.3937746,0.86783123
volume_sn_voxels::v302,-1.4229183,0.6231555
volume_sn_voxels::v303,-1.2526531,0.4043388
volume_sn_voxels::v304,-1.1624681,0.30871743
volume_sn_voxels::v305,-1.3049501,0.433512
volume_sn_voxels::v306,-1.2323,0.861976
volume_sn_voxels::v307,-1.3823293,0.8991196
volume_sn_voxels::v308,-1.4375104,0.91261894
volume_sn_voxels::v309,-1.437513,0.8640379
volume_sn_voxels::v310,-1.4666106,0.592914
volume_sn_voxels::v311,-1.3581852,0.2226016
volume_sn_voxels::v312,-1.1746111,0.46052176
volume_sn_voxels::v313,-1.4432876,0.7196856
volume_sn_voxels::v314,-1.3642346,0.86860955
volume_sn_voxels::v315,-1.3723037,0.9560755
volume_sn_voxels::v316,-1.4120747,0.8915077
volume_sn_voxels::v317,-1.3402656,0.5538148
volume_sn_voxels::v318,-1.3680909,0.41718632
volume_sn_voxels::v319,-1.1861584,0.10886667
volume_sn_voxels::v320,-0.7913767,0.0009687675
volume_sn_voxels::v321,-1.1489332,0.27908364
volume_sn_voxels::v322,-1.1592369,0.5681059
volume_sn_voxels::v323,-1.3182842,0.89568895
volume_sn_voxels::v324,-1.324204,0.83463335
volume_sn_voxels::v325,-1.3981844,0.7510622
volume_sn_voxels::v326,-1.311722,0.660398
volume_sn_voxels::v327,-1.2526648,0.42625996
volume_sn_voxels::v328,-1.3140681,0.21369565
volume_sn_voxels::v329,-1.0235106,-0.010780296
volume_sn_voxels::v330,-0.8068303,0.006639311
volume_sn_voxels::v331,-0.9706461,0.56947047
volume_sn_voxels::v332,-1.0087517,0.6284233
volume_sn_voxels::v333,-1.0903574,0.6317362
volume_sn_voxels::v334,-1.5165277,0.8587041
volume_sn_voxels::v335,-1.4952368,0.74236953
volume_sn_voxels::v336,-1.2469108,0.26468736
volume_sn_voxels::v337,-1.2856843,0.14819987
volume_sn_voxels::v338,-1.063542,-0.17576206
volume_sn_voxels::v339,-0.85564256,-0.30740795
volume_sn_voxels::v340,-0.7197001,0.046968296
volume_sn_voxels::v341,-0.89665115,0.27655557
volume_sn_voxels::v342,-0.9537619,0.36299843
volume_sn_voxels::v343,-0.9949537,0.39489195
volume_sn_voxels::v344,-1.3463334,0.54514843
