Feature,Factor_2,Factor_4,Factor_7,Factor_8,Factor_13,Factor_15,Factor_18
volume_sn_voxels_feature_81,0.2689306437969208,1.0502041578292847,-0.4530109465122223,-0.029120169579982758,1.2150510549545288,0.3943333327770233,-0.35466933250427246
volume_sn_voxels_feature_82,-0.0626247450709343,1.3292433023452759,-0.23560382425785065,0.14070956408977509,1.247810959815979,-0.5426692366600037,-0.09154367446899414
volume_sn_voxels_feature_83,0.02628946863114834,-0.6896979212760925,0.5593773126602173,-0.47205662727355957,-1.3105798959732056,-0.4388062059879303,-0.24677179753780365
volume_sn_voxels_feature_84,-0.1581876128911972,-0.3929056227207184,0.4876905381679535,-0.44795727729797363,0.9061844944953918,-0.6935849785804749,-0.19476191699504852
volume_sn_voxels_feature_85,-0.08090367168188095,0.7665291428565979,0.5304917693138123,-0.5597236752510071,1.335105538368225,-0.9187161326408386,-0.31894198060035706
volume_sn_voxels_feature_86,-0.018379515036940575,1.259823203086853,0.5847223997116089,-0.48977914452552795,1.2461127042770386,-1.0577945709228516,0.01777070015668869
volume_sn_voxels_feature_87,0.20968185365200043,1.3551448583602905,0.32840076088905334,-0.2021859884262085,1.29401695728302,-1.1020532846450806,0.49607768654823303
volume_sn_voxels_feature_88,0.1517125368118286,1.2616114616394043,-0.374249130487442,0.0655272901058197,1.2427936792373657,-1.1385592222213745,0.7267544269561768
volume_sn_voxels_feature_89,-0.4981522858142853,0.3474451005458832,0.928196132183075,-1.015115737915039,1.1815687417984009,-1.3138376474380493,-0.12236986309289932
volume_sn_voxels_feature_90,-0.09347641468048096,1.1823984384536743,0.9315796494483948,-0.9547626972198486,1.4879943132400513,-1.1137921810150146,0.4794817864894867
volume_sn_voxels_feature_91,0.22432982921600342,1.3270481824874878,0.43897175788879395,-0.46408864855766296,1.1116619110107422,-1.177937626838684,0.8172990679740906
volume_sn_voxels_feature_92,0.4031870663166046,1.1286439895629883,-0.5378677248954773,-0.05091725289821625,1.02000892162323,-1.224320411682129,0.9721224904060364
