Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v211,0.31452927,0.1680925,6.6256475,-9.421879,0.71446276
volume_sn_voxels::v212,3.3803241,0.69189185,8.767526,-7.7483096,0.88829726
volume_sn_voxels::v213,-1.2395519,0.092186175,-10.030247,-2.0252824,0.72958565
volume_sn_voxels::v214,3.4159858,0.70595545,3.9183965,-6.397131,1.1340097
volume_sn_voxels::v215,0.39864165,0.3148032,1.8895255,9.660926,0.91864395
volume_sn_voxels::v216,0.45011395,-0.51323473,10.860838,-5.204871,0.6505115
volume_sn_voxels::v217,-1.698151,-0.15646929,9.153832,2.4622204,0.7516229
volume_sn_voxels::v218,-0.39227384,0.12828627,2.3526158,1.5686225,0.88258624
volume_sn_voxels::v219,-0.24275586,0.10471396,-0.3776653,9.887098,0.8847511
volume_sn_voxels::v220,1.0177152,-0.17349924,6.9872046,-13.581131,0.7711302
volume_sn_voxels::v221,1.4522345,-0.27014866,-0.4331418,-2.733218,0.8074266
volume_sn_voxels::v222,0.40569583,-0.3841747,-2.9336061,-0.35781488,0.72586924
volume_sn_voxels::v223,1.3252832,-0.29890206,9.243514,-7.831243,0.69976705
volume_sn_voxels::v224,-0.58228767,-0.19009502,-2.257707,15.127898,0.68259734
volume_sn_voxels::v225,-2.5019746,0.017492747,2.2327423,10.638286,0.8954381
volume_sn_voxels::v226,-0.35641205,-0.5339844,5.5625033,14.603872,0.7464922
volume_sn_voxels::v227,-1.407714,-0.19544016,-6.0402527,-0.37709272,1.014865
volume_sn_voxels::v228,-1.5905614,-0.11888817,-0.56321716,4.733602,0.8577244
volume_sn_voxels::v229,0.48890367,0.041100528,-0.24205472,11.249909,0.8071346
volume_sn_voxels::v230,-2.4960938,0.3021335,-2.7982476,-1.1102386,1.0427177
volume_sn_voxels::v231,-0.7118511,-0.08268288,7.7454586,4.286298,1.0279727
volume_sn_voxels::v232,0.21802557,-0.30167928,0.7432601,-4.8659635,0.84060955
volume_sn_voxels::v233,-1.0047748,-0.4242418,2.1085339,-2.343124,0.87531453
volume_sn_voxels::v234,0.39099088,-0.23249002,0.22443318,-5.031562,0.86216366
volume_sn_voxels::v235,-0.08958403,-0.013521328,0.7106563,2.195607,0.90724325
volume_sn_voxels::v236,2.30964,-0.08882062,3.7464118,-0.043785594,0.8944112
volume_sn_voxels::v237,1.9425563,-0.17853917,1.2820787,9.673877,0.7968576
volume_sn_voxels::v238,-0.2960203,-0.062860504,-0.3164841,5.9620337,0.92884845
volume_sn_voxels::v239,-0.19592671,-0.3891437,6.593317,-1.6709938,0.71729785
volume_sn_voxels::v240,-5.099387,-0.37514487,3.6737454,7.8245296,0.862091
volume_sn_voxels::v241,-0.4252017,-0.5086804,5.5573683,8.443704,0.6946024
volume_sn_voxels::v242,-2.3316736,0.35911688,8.032331,-4.578108,0.7613427
volume_sn_voxels::v243,0.13413282,1.29925,-1.8349108,-12.20839,1.2623882
volume_sn_voxels::v244,-0.10871864,0.42028174,-4.816032,10.972421,1.1017374
volume_sn_voxels::v245,1.6546806,0.29440537,0.6066223,-11.260363,1.0508835
volume_sn_voxels::v246,1.7092612,0.068541825,4.402913,-16.07895,0.9181277
volume_sn_voxels::v247,-0.4509752,0.11927313,10.39586,10.735968,0.87363
volume_sn_voxels::v248,2.4313428,-0.22718929,-1.5358932,-4.0402207,0.87323606
volume_sn_voxels::v249,-1.5794175,-0.5633384,9.811686,1.7042028,0.7625022
volume_sn_voxels::v250,0.63581806,-0.59021145,2.4466343,-3.137481,0.7113935
volume_sn_voxels::v251,0.58869225,-0.52799886,-2.9534237,-1.9637898,0.5776884
volume_sn_voxels::v252,0.32304835,0.5583887,-4.324856,4.3313756,0.7640689
volume_sn_voxels::v253,-0.35902733,0.7594822,2.0940988,-5.568622,0.94347715
volume_sn_voxels::v254,-0.2748199,0.73406297,-1.3935434,5.378152,1.0542779
volume_sn_voxels::v255,-2.2854755,0.61292356,-2.9238017,1.2975303,1.063147
volume_sn_voxels::v256,2.9886231,0.45689145,-0.87686807,5.3959317,1.0206797
volume_sn_voxels::v257,1.6141219,0.07151168,-0.46085733,3.0911567,0.94236565
volume_sn_voxels::v258,0.38774067,-0.15781944,6.021665,-9.713359,0.9486963
volume_sn_voxels::v259,4.130927,-0.13620824,3.8312852,-1.1044364,0.99306834
volume_sn_voxels::v260,-1.0960848,-0.53408915,-0.6679373,-6.0930967,0.7719194
volume_sn_voxels::v261,0.25588253,-1.231189,5.738864,-6.5478005,0.39957523
volume_sn_voxels::v262,-2.3333771,0.9418207,4.3464127,-2.7405045,1.0252376
volume_sn_voxels::v263,0.041567568,0.72444475,-7.8696694,-17.343723,0.7903375
volume_sn_voxels::v264,-1.7754309,1.5876911,5.181055,-3.211131,1.3037819
volume_sn_voxels::v265,-0.8185727,0.48368114,-2.2642934,-1.2874371,0.9840091
volume_sn_voxels::v266,0.34030792,0.251632,-5.583065,-2.039004,0.97521824
volume_sn_voxels::v267,0.3640989,-0.26321527,7.313014,-5.73662,0.8386955
