Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v896,0.00044522248,0.00037279417,-0.00049392815,-4.6788713e-08,-0.00029900306,-0.0003129179,-9.296887e-05,-0.00018538068,0.00020076503,-0.0006219019,0.00011749526,-0.00018636165
volume_sn_voxels::v897,0.00035879642,0.00034445815,-0.0005131628,8.059392e-05,-0.000310984,-7.776785e-05,-7.063488e-05,-4.91776e-05,0.00010287147,-0.0007481422,1.51178e-05,-0.00028057522
volume_sn_voxels::v898,0.00030025898,0.00029439435,-0.0005648276,0.000263528,-0.00024039128,0.0003069119,0.00010032004,4.608393e-05,6.6456196e-05,-0.0010325944,-2.3919329e-05,-0.00043467226
volume_sn_voxels::v899,0.00020434981,0.00013251705,-0.00055048,0.00058235903,-0.00026933727,0.00067986635,0.00046504606,0.00013675433,3.8698032e-05,-0.0010109657,-2.951089e-05,-0.00066024705
volume_sn_voxels::v900,9.332957e-05,-1.6826061e-05,-0.00036664095,0.0008251975,-0.00023340463,0.0008769422,0.0008986317,0.00013512434,0.00010708425,-0.0008524913,-2.07843e-05,-0.00074826163
volume_sn_voxels::v901,1.8221957e-05,-0.0001538058,-0.00014315486,0.00067479233,-0.00020764914,0.0005884758,0.001026408,0.00010510495,0.00016321485,-0.00048655085,5.9363687e-05,-0.000597963
volume_sn_voxels::v902,0.00041832324,0.00048504275,-0.00019900384,4.9907867e-05,-0.00023331013,-0.0005426716,-9.2137576e-05,-0.0004077747,0.00046045522,-0.0003687495,0.00027901138,-1.737761e-05
volume_sn_voxels::v903,0.0004886523,0.00053817354,-0.00032809298,8.982973e-05,-0.0003099313,-0.00066646613,-0.000105951156,-0.0003720498,0.00029473574,-0.00042928327,0.00017399648,-5.437175e-05
volume_sn_voxels::v904,0.00037367796,0.00048587195,-0.00041422748,0.00015242181,-0.00028772012,-0.00048861204,-5.8473724e-05,-0.00028477103,0.00020042656,-0.0004798635,0.00014714984,-0.000109162116
volume_sn_voxels::v905,0.00038386625,0.00046181236,-0.00052478904,0.00025199866,-0.00030174054,-0.00020985832,-4.8621932e-06,-0.00018532982,0.00012697492,-0.00066654175,0.00016511709,-0.00022755613
volume_sn_voxels::v906,0.00030908603,0.0004458685,-0.000521267,0.00056620565,-0.00019937022,0.00027133396,0.000162583,-6.027937e-05,9.993387e-05,-0.0007483676,0.00020764586,-0.00034742526
volume_sn_voxels::v907,0.00023462057,0.00036691266,-0.0005585355,0.0009802507,-0.00022600823,0.0008330084,0.000544081,1.8903607e-05,0.00010028478,-0.0008749833,0.00025575625,-0.0006412189
volume_sn_voxels::v908,0.00010233388,0.00012418597,-0.00045763713,0.0011830009,-0.00018803772,0.0011670422,0.00097325456,8.855975e-05,0.00017259232,-0.00074514834,0.0002444586,-0.0007308114
volume_sn_voxels::v909,3.4896482e-05,-8.263059e-05,-0.0002000798,0.0008392273,-0.00020040791,0.0007845848,0.0011060367,0.00015857082,0.00020941524,-0.0004452942,0.00026311554,-0.0005476732
volume_sn_voxels::v910,0.0003916532,0.00064371974,-0.00011939653,9.6432166e-05,-0.00020018144,-0.0007997948,-0.00017231356,-0.00042119742,0.00036681068,-0.0004641395,6.258502e-05,6.803553e-06
volume_sn_voxels::v911,0.00040009888,0.0006467359,-0.0002681528,0.00020286886,-0.00027472293,-0.0008153218,-0.00012008655,-0.00038917534,0.00021462554,-0.00029724065,0.00013400221,3.0707415e-05
volume_sn_voxels::v912,0.00037139398,0.000633396,-0.00035417758,0.00027019676,-0.0002635113,-0.00065019046,-2.7314449e-05,-0.00038043023,0.00013122242,-0.00030998836,0.00023430552,-4.657444e-05
volume_sn_voxels::v913,0.00038050886,0.0006886288,-0.00046778173,0.0005073876,-0.000253062,-0.0002291687,7.418024e-05,-0.0003432797,7.974167e-05,-0.00039226576,0.00039994673,-0.00014751482
volume_sn_voxels::v914,0.00032562728,0.0007155614,-0.0005559856,0.00085738086,-0.00018117778,0.00040886956,0.00023990593,-0.00024244924,0.000114151335,-0.00048151374,0.000546267,-0.0003026616
volume_sn_voxels::v915,0.00020250831,0.00060732616,-0.00058963656,0.0012410777,-7.512323e-05,0.0010568214,0.000512205,-0.00010424514,0.00012949403,-0.00047427445,0.00059188565,-0.0005237426
volume_sn_voxels::v916,0.00012464823,0.0003915909,-0.00048867066,0.0013518996,-5.330402e-05,0.0014218346,0.000921463,1.7976385e-05,0.00024411819,-0.00035530498,0.00060425466,-0.0006483754
volume_sn_voxels::v917,0.00047405888,0.0007531378,0.00017333824,-7.524508e-05,-0.00020762702,-0.0007413983,-0.00022791508,-0.00022942317,0.0004467047,-0.0006470184,-0.00010819059,-0.00010071934
