Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_10,-0.1616164,-0.8053954,-0.35756695,-0.027880969,1.5759795,-0.720422,-0.10017743,0.09082204,0.5392355,0.8886011,0.35901394,-0.77174175,-1.4781709,-0.43135366,-1.1710887,-0.5488228,0.5890347,1.1545718,-0.42060313,-0.7897825
Subject_11,-1.5807338,-0.54848343,0.48849392,-0.2717226,0.51008385,-0.42154253,0.48221284,0.2933065,1.6301386,0.89835066,0.6960015,0.28901878,0.52474535,0.027885275,0.8942986,-0.9239441,0.34253863,-0.2701534,0.72940284,-0.30582935
Subject_12,-1.0928766,1.0716707,-0.9137156,-0.8633504,0.22481571,0.23101307,-1.5599167,-0.5342782,-0.4635781,-1.5208179,-0.96762264,-0.93004674,-0.99616796,-0.037478864,-0.17408735,1.3478893,-0.6928796,-0.450039,0.9396499,-1.1059451
Subject_13,-0.83953434,-0.2549596,1.3618624,1.3167962,0.4785159,0.93611073,0.87291765,-0.5217886,-0.75965035,-0.76907575,0.54620856,0.87081856,0.3172097,0.92074734,0.88445926,-0.9863068,1.274855,-1.0808996,-0.107883446,0.8343416
Subject_14,-0.8665656,-0.5263098,0.7558252,-0.62042654,0.5615443,-0.07630897,0.9892113,-0.5174048,-0.67303467,0.21456586,0.46525517,0.81160486,0.5742599,-0.59799653,-1.0639943,0.7152545,0.25455892,-0.83190066,-0.16966762,0.36618918
Subject_15,0.29026392,1.1288677,-0.65196484,-0.9277782,0.4376578,-1.256854,-1.4128212,-0.24038866,0.6430695,0.65731925,-1.8376741,-0.6056044,-1.2246726,-1.1144224,-1.059373,0.98139155,-1.2395847,1.2806921,-0.80268794,-0.37131512
Subject_16,0.598493,-0.14126536,0.3348535,-0.11753991,1.4746435,-0.607372,0.5447273,0.9862822,-1.047363,-0.52782255,0.8571504,0.937201,-0.42886287,1.231714,-0.74941814,0.5429129,-1.2288421,0.54742235,0.5353004,0.56699127
Subject_17,-0.8479339,0.045607384,-0.23633218,0.64759403,0.47355497,1.2365998,1.1665103,0.46777737,-1.050337,-0.7782936,0.66038287,0.8641627,0.89656305,1.0237725,-0.908819,-0.61233145,0.9149227,-0.03226033,1.6639848,0.745369
Subject_18,0.34031442,0.7067175,-0.99761325,-0.37968934,1.0834606,-0.5818393,0.5139266,0.8321959,0.46105722,-0.20900244,0.47481814,-0.49713418,-0.42620507,-0.5588295,0.6625472,0.9032619,-0.5206641,-0.7814985,1.0938408,-0.46843505
Subject_19,-1.324957,-0.7299248,1.0642437,-0.8517235,0.60327053,0.48264363,-1.8936125,0.5446272,1.3876421,-0.2508731,-0.6337142,-1.0845026,-1.1523063,-0.28457186,0.5900461,-0.18534836,-0.82145,0.47453687,-1.0483013,-0.6982863
