Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7
volume_sn_voxels::v30,0.0005025923601351678,-0.000803853792604059,-0.00024204631336033344,0.0004825617070309818,0.0007620423566550016,-0.0002970228670164943,-8.030675235204399e-05,9.381715062772855e-05
volume_sn_voxels::v31,0.0005712542333640158,-0.0008883633418008685,-0.00014334838488139212,0.0006320431130006909,0.0010239867260679603,-0.0003045217599719763,-0.00010093189484905452,0.00045238924212753773
volume_sn_voxels::v32,0.0006038029096089303,-0.0008817849447950721,-6.272396421991289e-05,0.0006142976926639676,0.001212016912177205,-0.00032632239162921906,-5.0029055273626e-05,0.0007402753108181059
volume_sn_voxels::v33,0.000628639361821115,-0.0007647882448509336,7.884026854299009e-05,0.0006264169933274388,0.0011489852331578732,-0.00022266266751103103,0.00015125398931559175,0.0009071900858543813
volume_sn_voxels::v34,0.0004732756642624736,-0.0004392342525534332,-0.0001173351047327742,6.134749128250405e-05,0.0005697254091501236,0.0002514217630960047,-8.512051863363013e-05,-0.001216481439769268
volume_sn_voxels::v35,0.00044688821071758866,-0.0005469236057251692,-0.00020425028924364597,0.00011229678057134151,0.0005293518770486116,4.010451812064275e-05,-0.00011613227252382785,-0.0009158053435385227
volume_sn_voxels::v36,0.00044752098619937897,-0.0005783733795396984,-0.00027388171292841434,0.00021353689953684807,0.0005718943430110812,-0.00014302070485427976,-0.0001293379464186728,-0.0006474708789028227
volume_sn_voxels::v37,0.0005076929810456932,-0.0007254774100147188,-0.0002428811276331544,0.0003873092064168304,0.0006913596880622208,-0.0002351551956962794,-8.383800741285086e-05,-0.00039436007500626147
volume_sn_voxels::v38,0.0005231918767094612,-0.0007733727106824517,-0.0002129743661498651,0.0005141584551893175,0.0008729470428079367,-0.0002580811269581318,-0.00017386770923621953,-3.5469802242005244e-05
volume_sn_voxels::v39,0.0006138267344795167,-0.0009465254843235016,-0.00021861848654225469,0.0005739530315622687,0.001128393691033125,-0.0002363303501624614,-0.00019582276581786573,0.0002648855734150857
volume_sn_voxels::v40,0.0005869895685464144,-0.0008075796067714691,-0.00011840274964924902,0.0006036541890352964,0.0011460648383945227,-0.00019737627007998526,-9.626837709220126e-05,0.0005282016354613006
volume_sn_voxels::v41,0.00042192242108285427,-0.00043341502896510065,6.984148058108985e-05,1.4658492546004709e-05,0.0005761947249993682,0.00023273139959201217,-7.36109068384394e-05,-0.0010988700669258833
volume_sn_voxels::v42,0.0005010113818570971,-0.0005885810824111104,-2.6112802515854128e-05,8.625315967947245e-05,0.0006242944509722292,0.00010658706014510244,-0.00010110842413268983,-0.0010391725227236748
volume_sn_voxels::v43,0.0005149546777829528,-0.0006447817431762815,-0.00013431344996206462,0.0002606390626169741,0.0005957743269391358,-4.735850598081015e-05,-0.00011091923079220578,-0.0008371793082915246
volume_sn_voxels::v44,0.0004927734262309968,-0.0006895304541103542,-0.0001810956309782341,0.00032983155688270926,0.0007143359980545938,-0.00016465206863358617,-0.00018050134531222284,-0.0005508015165105462
volume_sn_voxels::v45,0.0005901650292798877,-0.0007948018028400838,-0.00023964463616721332,0.0004949779831804335,0.0010015318403020501,-0.00018903319141827524,-0.00019623769912868738,-0.00022196878853719682
volume_sn_voxels::v46,0.0005168076604604721,-0.0007566304411739111,-0.0001919141213875264,0.0005208971560932696,0.0009990740800276399,-0.00012887275079265237,-0.00019129295833408833,6.126829975983128e-05
volume_sn_voxels::v47,0.000491082202643156,-0.0006489461520686746,-0.00010435198055347428,0.0005533522926270962,0.0010444887448102236,-5.117631008033641e-05,-9.561159822624177e-05,0.00033468130277469754
volume_sn_voxels::v48,0.0003900655428878963,-0.0004122125101275742,0.00025053106946870685,6.821546412538737e-05,0.000561863009352237,0.0002927819441538304,-3.594485315261409e-05,-0.0010643103159964085
volume_sn_voxels::v49,0.00044738847645930946,-0.0004780684248544276,0.00013777069398202002,0.00015401089331135154,0.000583212764468044,0.00020370128913782537,-8.824731776257977e-05,-0.0009850127389654517
volume_sn_voxels::v50,0.0005238767480477691,-0.0006442622398026288,1.5084262486197986e-05,0.0003153894795104861,0.0006883342866785824,0.00012977243750356138,-0.00011708572128554806,-0.0009311308385804296
volume_sn_voxels::v51,0.0005452576442621648,-0.0006912151584401727,-8.652632095618173e-05,0.0004194060165900737,0.0008048107847571373,5.402652459451929e-05,-0.00011511436605360359,-0.0006210858700796962
volume_sn_voxels::v52,0.0005501405685208738,-0.0006681067170575261,-0.0001974197366507724,0.0005392892053350806,0.0009274007170461118,1.425222035322804e-05,-0.00019421076285652816,-0.00037491676630452275
volume_sn_voxels::v53,0.0005381064838729799,-0.0006556035368703306,-0.00018220751371700317,0.000587754650041461,0.001003276789560914,5.7402383390581235e-05,-0.00017736446170601994,-3.773667413042858e-05
volume_sn_voxels::v54,0.00037870893720537424,-0.0002959818230010569,0.00023245267220772803,0.0004159914096817374,0.0006717772921547294,0.0005175129044800997,-8.311875717481598e-05,-0.0009958702139556408
