Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
volume_sn_voxels::v70,0.00036975287,0.000294357,-0.0005478235,-0.0003913824,-0.0010279551,0.0010293014,6.8446585e-05,-0.001442825,0.0010190898,-0.0004354283,-0.001447355,0.0016241071,0.0017072312,0.0003151018,0.00064884464,0.00051445677,-0.0009517555,-0.00048535314,-0.00073537003,-0.0012497245,0.00022832105,-0.0008291415
volume_sn_voxels::v74,0.00047737168,3.3238226e-05,-0.0007350216,-0.00041654348,-0.0010597855,0.000502745,0.00038021835,-0.0016545225,-0.00010712424,-0.00020173023,-0.0015034906,0.0007827395,0.0007477402,0.00074098184,0.00097130326,-0.00021691284,-0.0008303997,0.0002878843,0.0011463773,-0.00037945912,-0.00027871947,-0.00066026364
volume_sn_voxels::v75,0.00049564947,0.0002037327,-0.0008528252,-0.00055375486,-0.0011635639,0.000676269,0.00038747286,-0.0015818621,0.00026834907,-0.00055063947,-0.0015246877,0.0011670433,0.0010180398,0.0005869186,0.0007358038,-0.00014639912,-0.00077702646,-5.6659108e-05,0.0004817781,-0.00065999496,-6.921948e-05,-0.0008919871
volume_sn_voxels::v76,0.000505547,0.00027174727,-0.00070605247,-0.0005509531,-0.0011952807,0.0005504016,0.00015023608,-0.001369848,0.0006638749,-0.0006788092,-0.0013719789,0.0013043097,0.001309403,0.00031434032,0.00085427216,-8.721959e-05,-0.00046441203,-0.00016966711,1.7770924e-05,-0.000948688,0.00019773297,-0.00085155497
volume_sn_voxels::v80,0.0005882382,-4.198683e-06,-0.0005008454,-0.0007612614,-0.0010128842,0.00031032,0.00065773894,-0.0014177111,-0.00075780886,-0.00037046472,-0.0009766312,0.0005577353,0.00070852303,0.00058505905,0.0009223696,-0.00033519577,-0.0007515898,0.00023621638,0.0015510998,0.00014755318,-0.0012716741,-0.00084726035
volume_sn_voxels::v81,0.0005112011,0.00010126879,-0.0007120514,-0.0006655387,-0.0011343875,0.0002243071,0.00044853069,-0.001378402,-0.00024651721,-0.00066426763,-0.0013656039,0.0008169014,0.0003768269,0.00029891726,0.00093950814,-0.00033184333,-0.00045682592,-5.265934e-06,0.0011236755,-0.000356683,-0.00072872406,-0.000717415
volume_sn_voxels::v87,0.00061839994,-1.0574716e-05,-0.00013665245,-0.00096946134,-0.0010477868,-6.622546e-05,0.0011026448,-0.00092141447,-0.0011873111,-0.0005623528,-0.0003682166,0.0004104414,0.00011818792,0.00012312285,0.0010220938,3.1358304e-05,-0.0006281745,0.00036803924,0.0015915717,0.00028410758,-0.0023551309,-0.000560197
volume_sn_voxels::v88,0.0006687789,-4.403521e-05,-0.00054329046,-0.0009982999,-0.001290548,-5.0738774e-05,0.0006241225,-0.001324694,-0.0010764593,-0.0006733318,-0.0011188227,0.0005285024,0.00022025497,0.00010576684,0.0010855637,-0.0001673787,-0.00050619734,7.513095e-05,0.0016069262,0.00035323287,-0.0015025943,-0.00058621744
volume_sn_voxels::v95,0.0006165042,0.0003087106,0.0004210577,-0.0013335055,-0.0011406209,-0.0002559436,0.0014645648,-0.00090273895,-0.0011510003,-0.00071837456,0.0003139862,0.00040505285,-0.0004844871,-0.0002938362,0.00096142886,0.00020639964,-4.7903857e-05,0.0006105734,0.001777924,0.00049426395,-0.0017831161,0.00045361338
volume_sn_voxels::v96,0.00067574636,0.00011139182,0.00010322929,-0.0011242178,-0.0010965572,-0.00026869174,0.00081266515,-0.00091051566,-0.0010267134,-0.00075067586,-0.00040221424,0.00056800334,-0.0005392355,-0.0004213817,0.0009025447,3.5411654e-07,-9.289587e-05,0.00030196155,0.0015733168,0.0006337038,-0.001871296,0.00014008583
