Feature,Factor_1,Factor_6,Factor_7,Factor_8,Factor_16,Factor_28
volume_sn_voxels_feature_64,-0.1530407816171646,0.5295386910438538,-0.7766072154045105,-0.4332258403301239,-0.24842853844165802,-1.262203574180603
volume_sn_voxels_feature_65,-0.9050369262695312,0.19772452116012573,-0.3505001962184906,0.5099343061447144,-0.8470325469970703,-0.5286149382591248
volume_sn_voxels_feature_66,-0.5865526795387268,-0.09732051938772202,-0.44284000992774963,0.2220030128955841,-0.9654515385627747,-0.6438806056976318
volume_sn_voxels_feature_67,-0.14001305401325226,-0.4408952295780182,-0.29624319076538086,0.008135562762618065,0.018949925899505615,0.04851226136088371
volume_sn_voxels_feature_68,-0.5878522396087646,-0.17444849014282227,0.18987052142620087,0.24396325647830963,0.011851419694721699,0.11574603617191315
volume_sn_voxels_feature_69,-0.02039896324276924,-0.1663433164358139,0.2444746047258377,-0.00644376315176487,-0.39639854431152344,0.19809864461421967
volume_sn_voxels_feature_70,0.6437022089958191,-0.6013145446777344,-0.06448876857757568,-0.3212675452232361,-0.00031076869345270097,-0.0748816654086113
volume_sn_voxels_feature_71,-0.29157117009162903,0.014190852642059326,-0.4185943901538849,-0.1588256061077118,0.5183210968971252,-0.27428552508354187
volume_sn_voxels_feature_72,-0.6391406059265137,0.027883067727088928,-0.6268939971923828,-0.06544004380702972,0.13446879386901855,0.21204248070716858
volume_sn_voxels_feature_73,-0.41314396262168884,-0.3528011739253998,0.6407214999198914,-0.034588441252708435,1.2440916299819946,0.1928439736366272
volume_sn_voxels_feature_74,-0.026672309264540672,-0.028338411822915077,0.39929628372192383,-0.08574508130550385,0.7659780383110046,0.32764652371406555
volume_sn_voxels_feature_75,0.15459269285202026,-0.018954604864120483,0.4240688383579254,0.12871874868869781,-0.08131382614374161,0.35148149728775024
volume_sn_voxels_feature_76,0.3044601380825043,-0.32591259479522705,-0.04156440123915672,-0.09394284337759018,-0.17372854053974152,0.20606470108032227
volume_sn_voxels_feature_77,-0.49949201941490173,0.35320329666137695,-0.9749336242675781,-0.35647934675216675,0.09838061779737473,0.45266205072402954
volume_sn_voxels_feature_78,-0.19068948924541473,-0.20464380085468292,0.7835617065429688,-0.6330084800720215,1.4332219362258911,0.40333202481269836
volume_sn_voxels_feature_79,0.18459349870681763,0.0836758241057396,0.16557255387306213,-0.3508063852787018,0.6550676226615906,0.10642401874065399
volume_sn_voxels_feature_80,0.041895050555467606,0.22721630334854126,-0.029713133350014687,-0.020175989717245102,-0.39167913794517517,0.11458197981119156
