Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
-0.6230893,1.0386193,0.4394921,1.4639888,-0.38130757
-1.6751246,-0.17685781,0.6224123,1.57975,-0.29861355
-0.068807915,-0.6560148,0.7138405,1.4663479,-0.24783905
0.15885569,0.0807824,0.8187553,1.5907749,-0.14593115
0.29868746,-0.45131826,0.7505843,1.3740617,-0.32384485
-0.9236873,0.9148852,1.0678171,1.2185811,-0.5251377
0.68273854,-0.93435204,0.9342614,1.0807457,-0.6394363
0.7958154,-0.20893757,-0.10015956,1.4066184,-0.4225731
-1.2759542,-0.15583055,0.21396598,1.4122307,-0.3465743
-0.5601154,0.2392042,0.5951002,1.4493841,-0.30010623
-1.1869408,-0.43016183,0.8134285,1.4747978,-0.37451112
0.43718743,0.4850251,1.0227834,1.4978536,-0.25393727
0.23337977,-1.2754453,0.98881024,1.4247781,-0.3434032
0.20957112,-1.105365,1.2728155,1.1926033,-0.5331952
0.004477955,0.47450632,1.2343826,1.0776782,-0.93179816
-0.24413002,-0.62952566,-1.1318562,0.8747337,-0.47762212
0.3103874,-1.4284393,-0.97419816,1.1014004,-0.52770853
0.6002565,1.3073183,-0.53690785,1.2542969,-0.39015895
0.21243128,-0.06791364,0.015528275,1.3908597,-0.4502115
0.0021892542,0.9082586,0.2779418,1.5017313,-0.3470343
-0.6085575,-0.44208208,0.8832517,1.4387411,-0.30701953
0.12081956,-0.088927664,1.0907667,1.3431021,-0.40271968
-0.09864243,0.04056915,1.3621658,1.3251331,-0.47258538
-0.014498267,-1.0833929,1.3196514,1.0864291,-0.7301512
1.172504,-0.78071547,1.4322221,0.85014725,-0.73684084
2.3749013,-0.8448638,-1.5035852,0.58370596,-0.6976952
-0.10747412,-0.27403116,-1.4377012,0.80789626,-0.44125277
-0.40702075,-0.3738136,-1.3323468,0.90120596,-0.4572074
-1.86963,0.012182928,-0.8956413,1.1661726,-0.6529935
-0.20813093,-0.19948687,-0.30754128,1.3668308,-0.3368014
0.142791,-0.06005704,-0.05224234,1.3919982,-0.38062888
-0.2834211,0.19796076,0.8121376,1.4136646,-0.3827629
-0.49551022,0.5476386,0.9284793,1.1885431,-0.52582055
0.76825863,-0.12712619,1.2110442,1.1986054,-0.54171073
-0.04459828,-0.44762045,1.2786555,1.1576381,-0.7127327
-0.84640676,0.3747814,-1.4246289,0.6938984,-0.44570294
0.82084435,-1.227808,-1.6856024,0.7393548,-0.5341753
0.48053154,-0.099713705,-1.142605,1.3432316,1.009775
-0.24646074,0.7828049,-0.79605514,1.2653774,-0.4082797
0.13949211,0.9472177,0.4507961,1.3211153,-0.9194397
0.3184412,0.91226506,0.43648574,1.2639978,-0.48274118
-0.6288841,0.38796467,1.1843369,1.1373472,-0.5808631
-0.21493638,-1.2639129,1.3406111,0.9706078,-0.6561666
-0.80377626,1.1373005,-1.5580091,0.7798339,-0.6546128
0.23774844,-0.011421964,-1.7264128,0.844867,-0.47515756
-0.42104182,0.7462349,-1.3147088,1.0465319,-0.5406771
-0.06415808,0.876573,-0.9309966,0.9943842,-0.5477379
-0.4049852,0.9278185,-0.52610284,-1.5516417,-1.1848768
-1.0359024,0.50782967,0.215176,1.0453088,-0.6701385
-0.79999673,-0.10636571,0.82185817,0.8549177,-1.0081068
0.21966702,0.6588183,1.2736304,0.6794462,-1.0869715
0.7309181,0.03195599,-1.6234773,0.44871736,-0.6390896
0.061670054,1.2110614,-1.4857999,0.65733695,-0.5271459
-0.17750345,0.36009058,-1.0503705,0.90692365,-0.62866104
0.72436494,-0.056348473,-0.26213935,0.7248173,-0.77567667
0.24772725,0.7762431,-0.06952038,0.64360636,-0.872517
-0.24360391,-0.1686084,-1.088411,0.93517107,-0.33808142
-0.10266526,0.88950396,-0.053985618,1.0767831,-0.28648975
0.8398394,0.26051924,-1.0326673,1.0748875,-0.2510186
0.23120542,-0.32644492,0.47596785,1.246467,-0.34236348
-0.33103552,-0.90510976,0.10045307,1.0050927,-0.4338964
-0.5277964,0.2976361,-0.2498333,-0.3991194,-0.9473479
-0.6238178,0.39003563,0.989933,1.3801539,-0.33464777
0.8503627,-0.720709,0.88466054,1.2420943,-0.4473592
0.6303418,-0.022837635,0.39722848,1.3592194,-0.4646773
-0.74845684,0.1206829,0.20587346,0.9080755,-0.68889153
-0.33278647,-0.8057266,1.1869593,1.35368,-1.2219409
0.30073217,0.01623665,1.1938726,1.4555211,-0.38424513
0.017839745,-1.1731348,1.1296992,1.1763855,-0.635961
-0.42838344,0.41969222,0.98473907,1.1337962,-0.5213491
0.05807528,-0.22197993,0.8642006,1.0383133,-0.7014562
-0.030690217,-0.060342714,0.6755889,1.8708693,-0.4599011
0.18618278,0.48457253,1.2041396,1.3453096,-0.4605506
-0.30832624,0.90506756,1.0704949,1.3752564,-0.44587794
-0.5740376,0.88596076,0.54271877,1.2454038,-0.46357253
0.58689153,0.34993592,1.308095,1.1101123,-0.68475837
