Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v510,0.000492262130137533,-1.2834911103709601e-05,-0.0003903328033629805,-0.00040266543510369956,-7.48521852074191e-05,3.60477642971091e-05,0.0003164544759783894,-0.00042728695552796125,0.00047250129864551127,-0.0002510775229893625,0.0005092166247777641,-0.00027564706397242844
volume_sn_voxels::v511,0.00045301084173843265,-4.718152922578156e-05,-0.0006129040848463774,-0.00039145920891314745,-8.33328376756981e-05,1.1962643839069642e-05,0.00016379547014366835,-0.0003345212899148464,0.00025440441095270216,-0.00023317565501201898,0.0003869998035952449,-0.00013087372644804418
volume_sn_voxels::v512,0.0004920820938423276,-9.21498576644808e-05,-0.0008599621942266822,-0.00046174321323633194,-6.27022236585617e-05,3.395376552361995e-05,-4.220740083837882e-05,-0.0002370709989918396,0.0001612408086657524,-0.00026918225921690464,0.0002970691421069205,7.389686652459204e-05
volume_sn_voxels::v513,0.0005279974429868162,-7.602215191582218e-05,-0.0009344939608126879,-0.0005362724768929183,-1.4594381354982033e-05,7.389749225694686e-05,-0.00029463210375979543,-6.735548959113657e-05,5.924575816607103e-05,-0.0003423073794692755,0.0001506302651250735,0.00029121627449057996
volume_sn_voxels::v514,0.0005001943791285157,-4.260551941115409e-05,-0.0008891497272998095,-0.0005198406870476902,9.228516864823177e-05,0.0001429579860996455,-0.00043207459384575486,0.00012734966003336012,-7.649413601029664e-05,-0.00041929236613214016,2.8152089726063423e-07,0.0004611339536495507
volume_sn_voxels::v515,0.0004331848758738488,2.5764858946786262e-05,-0.0007137093343771994,-0.0004377603472676128,0.00019324781897012144,0.00022789622016716748,-0.00043796226964332163,0.00021509954240173101,-0.0001500621292507276,-0.00042836961802095175,-0.00011157760309288278,0.0006072013056837022
volume_sn_voxels::v516,0.00037469767266884446,0.00011641430319286883,-0.00045374821638688445,-0.00020386080723255873,0.0002617736754473299,0.0002681005862541497,-0.00025638187071308494,0.00028104998636990786,-0.00018391740741208196,-0.0003857407718896866,-7.87212629802525e-05,0.0007619964890182018
volume_sn_voxels::v517,0.000513480044901371,5.038042945670895e-05,0.0002599132130853832,-0.00041177269304171205,4.124196129851043e-05,0.00014760861813556403,0.00015331176109611988,-0.00018571788677945733,0.0010398781159892678,-0.00015067675849422812,0.0004822121118195355,-0.0002625551715027541
volume_sn_voxels::v518,0.0005398559151217341,9.421721188118681e-06,-8.900995453586802e-05,-0.0004241372807882726,2.2581345547223464e-05,3.9229133108165115e-05,0.00022157010971568525,-0.00033822451950982213,0.0008690423564985394,-0.00024357576330658048,0.00043920936877839267,-0.00037711154436692595
volume_sn_voxels::v519,0.0005066853482276201,-1.586881080584135e-05,-0.0004141713143326342,-0.0003883220488205552,-3.397750697331503e-05,-4.9001733714248985e-05,0.00016586194396950305,-0.00039741353248246014,0.0005763765657320619,-0.00027575803687795997,0.0003303266130387783,-0.0002898656821344048
