Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
volume_sn_voxels::v467,1.781966,0.6338675,-1.3388165,-0.12732238,-0.62085557,-1.1228131,0.41834617,-0.15359862,0.15636833,-0.43779668,0.5344796,-0.3911269,-0.22025259,1.2132334,-0.4043296,-0.2809238,-0.8336366,-0.2849466,0.2792786,0.17775664
volume_sn_voxels::v468,1.5650442,0.7112643,-1.5514207,-0.13003518,-0.4561997,-0.34624436,0.5290242,-0.2730724,0.29705834,-0.28546658,-0.09667743,-0.0604546,-0.08592697,1.0775142,0.45807773,-0.33682024,-0.4831774,-0.104998566,0.30278343,0.097082295
volume_sn_voxels::v469,1.2966855,0.59900975,-1.2587799,-0.2627829,-0.68428147,1.0198681,0.089369036,-0.2587842,0.33166668,-0.433703,-0.5568883,0.7095619,-0.28199673,0.9600564,0.69474167,-0.48100647,0.95543355,0.20286357,0.08498651,0.32700574
volume_sn_voxels::v470,0.9579609,-0.03698156,-1.4703976,-0.28057948,-0.799025,0.8748639,0.1860604,-0.30813208,0.6327782,-0.68585545,-0.5758557,1.3124477,0.023769902,1.0832818,0.14202155,-0.56959283,1.0283005,0.40068877,-0.096481785,0.28449452
volume_sn_voxels::v471,1.3701714,-0.060736094,-1.3392637,-0.09016954,-0.9347666,1.0001295,0.25142467,-0.12791587,0.62157804,-0.8815132,-0.49948373,1.0948449,0.20394297,1.200558,-0.52577925,-0.0053972863,1.2828501,0.72967964,-0.34757242,0.47724876
volume_sn_voxels::v472,0.42979765,0.2625805,-0.6794185,0.1275062,-0.9335681,0.946322,-0.1777724,-0.18405238,0.4191659,-0.75361687,-0.20865615,1.4888933,-0.07603121,1.3282728,-0.92575204,-0.16592613,1.6065352,0.84034586,-0.76999825,0.49683616
volume_sn_voxels::v473,0.023413736,-0.47192293,0.2292633,0.42921352,-0.9544,0.8250201,-0.29985878,0.08859748,0.1137667,-0.519518,-0.20228316,1.321738,-0.6437785,1.3336653,-0.8837193,0.12383359,1.3130517,0.4885228,-0.7972556,0.14606233
volume_sn_voxels::v474,1.5168184,0.603388,0.56080705,-0.6105595,-0.023693781,-1.2343848,0.22338612,-0.309041,0.09884367,-0.8340242,1.1071258,-0.72113687,0.06823711,1.2179037,-1.3897246,-0.87853414,-0.74812335,-0.15500171,0.36968,0.42232352
volume_sn_voxels::v475,1.01746,0.68486327,-1.2655683,0.1526362,-0.07366258,-0.74117106,-0.27810198,-0.15668307,0.29624775,-0.5656315,0.71458644,-0.96871734,0.09966455,1.002793,-0.9358766,-0.92272735,-0.8419318,0.011928351,0.019767605,0.090815544
volume_sn_voxels::v476,1.7201953,0.4898034,-1.0038857,0.11602925,-0.06527309,0.42338145,-0.15132888,-0.3450916,0.4754222,-0.30624488,0.16201088,-0.8074263,0.023458017,1.594267,0.12003589,-0.8265565,-0.43938437,0.14730407,0.4061632,0.14810234
