Feature,Factor_0
volume_sn_voxels::v323,-1.3770074844360352
volume_sn_voxels::v324,-1.3753464221954346
volume_sn_voxels::v325,-1.417307734489441
volume_sn_voxels::v326,-1.3291516304016113
volume_sn_voxels::v327,-1.2880464792251587
volume_sn_voxels::v328,-1.325629711151123
volume_sn_voxels::v329,-0.957984447479248
volume_sn_voxels::v330,-0.7735689878463745
volume_sn_voxels::v331,-1.0304754972457886
volume_sn_voxels::v332,-1.0487055778503418
volume_sn_voxels::v333,-1.1166280508041382
volume_sn_voxels::v334,-1.5292267799377441
volume_sn_voxels::v335,-1.5200016498565674
volume_sn_voxels::v336,-1.2590477466583252
volume_sn_voxels::v337,-1.2613115310668945
volume_sn_voxels::v338,-1.016557216644287
volume_sn_voxels::v339,-0.8019260168075562
volume_sn_voxels::v340,-0.7359630465507507
volume_sn_voxels::v341,-0.8728264570236206
volume_sn_voxels::v342,-0.9912823438644409
volume_sn_voxels::v343,-1.0144468545913696
volume_sn_voxels::v344,-1.3087105751037598
volume_sn_voxels::v345,-1.362453579902649
volume_sn_voxels::v346,-1.2452608346939087
volume_sn_voxels::v347,-1.095030665397644
volume_sn_voxels::v348,-0.929729163646698
volume_sn_voxels::v349,-0.7805382013320923
volume_sn_voxels::v350,-0.8027048110961914
volume_sn_voxels::v351,-0.8914600610733032
volume_sn_voxels::v352,-1.1310937404632568
volume_sn_voxels::v353,-1.1764386892318726
volume_sn_voxels::v354,-1.0994784832000732
volume_sn_voxels::v355,-0.970488429069519
volume_sn_voxels::v356,-0.6193747520446777
volume_sn_voxels::v357,-0.5812379121780396
volume_sn_voxels::v358,-0.6871727108955383
volume_sn_voxels::v359,-0.880626916885376
volume_sn_voxels::v360,-0.9586687088012695
volume_sn_voxels::v361,-1.0067840814590454
volume_sn_voxels::v362,-0.9128761291503906
volume_sn_voxels::v363,-0.7200937867164612
volume_sn_voxels::v364,-0.3046533167362213
volume_sn_voxels::v365,-0.24456101655960083
volume_sn_voxels::v366,-0.649110734462738
volume_sn_voxels::v367,-0.48950842022895813
volume_sn_voxels::v368,-0.41475650668144226
volume_sn_voxels::v369,-0.9196878671646118
volume_sn_voxels::v370,-1.0118647813796997
volume_sn_voxels::v371,-0.8726394176483154
volume_sn_voxels::v372,-0.7218593955039978
volume_sn_voxels::v373,-0.929491400718689
volume_sn_voxels::v374,-1.0674843788146973
volume_sn_voxels::v375,-1.2110657691955566
volume_sn_voxels::v376,-1.4652862548828125
volume_sn_voxels::v377,-1.0728811025619507
volume_sn_voxels::v378,-0.8786311745643616
volume_sn_voxels::v379,-1.0468511581420898
volume_sn_voxels::v380,-1.0565171241760254
volume_sn_voxels::v381,-1.2120486497879028
volume_sn_voxels::v382,-1.3169169425964355
volume_sn_voxels::v383,-1.2668139934539795
volume_sn_voxels::v384,-1.1850802898406982
volume_sn_voxels::v385,-0.975947380065918
volume_sn_voxels::v386,-1.1901956796646118
volume_sn_voxels::v387,-1.0860427618026733
volume_sn_voxels::v388,-1.2236244678497314
volume_sn_voxels::v389,-1.3628250360488892
volume_sn_voxels::v390,-1.42191743850708
volume_sn_voxels::v391,-1.339506983757019
volume_sn_voxels::v392,-1.1064555644989014
volume_sn_voxels::v393,-1.1911767721176147
volume_sn_voxels::v394,-1.1390337944030762
volume_sn_voxels::v395,-1.2326762676239014
volume_sn_voxels::v396,-1.2992379665374756
volume_sn_voxels::v397,-1.450138807296753
