Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v23,-452.53448486328125,-0.8470054268836975,0.47164127230644226,-0.46898314356803894,-0.9770097732543945,-0.9099082946777344,0.35556232929229736,-2.2186777591705322,-0.4188106060028076,-0.26578590273857117,-0.28241661190986633,3.679899215698242
volume_sn_voxels::v24,-471.4013366699219,-4.602548599243164,0.3348987102508545,-0.5984381437301636,-15.951384544372559,-0.6444879174232483,0.01573558896780014,-2.240208864212036,2.447645902633667,0.2730623781681061,-7.290696144104004,4.417736530303955
volume_sn_voxels::v25,-138.1726531982422,-49.140316009521484,-1.5395480394363403,-0.0822310745716095,109.12761688232422,-0.007195127196609974,1.206184983253479,0.2968958616256714,-1.8919378519058228,-2.0955088138580322,-3.9833168983459473,1.6457889080047607
volume_sn_voxels::v26,-172.59495544433594,-26.842145919799805,-1.1862531900405884,-0.1608988642692566,106.60365295410156,-0.432864785194397,0.8294905424118042,-0.027451980859041214,-4.085375785827637,-2.4131357669830322,-3.6927871704101562,1.144792914390564
volume_sn_voxels::v27,-235.6902313232422,-6.455999851226807,-0.612026035785675,-0.20485138893127441,109.01860046386719,-0.8875954151153564,0.6055858731269836,-0.7048603296279907,-5.551906108856201,-2.765669822692871,-4.3885087966918945,1.3190416097640991
volume_sn_voxels::v28,-239.93075561523438,0.5458788275718689,-0.0673060342669487,-0.23876678943634033,78.42987060546875,-0.9804494380950928,0.37534695863723755,-1.0875349044799805,-4.816490650177002,-2.1628055572509766,-3.1065726280212402,1.653924822807312
volume_sn_voxels::v29,-298.9903869628906,2.4271326065063477,0.3834967613220215,-0.32739952206611633,58.850643157958984,-1.097414255142212,0.47221359610557556,-1.423793077468872,-3.7597339153289795,-1.821192979812622,-2.6427717208862305,2.7740352153778076
volume_sn_voxels::v30,-358.4341735839844,2.4279725551605225,0.8372874855995178,-0.47662481665611267,35.27608871459961,-1.0705032348632812,0.6980239152908325,-1.7449361085891724,-2.390430450439453,-1.4873454570770264,0.6922200322151184,4.443228721618652
volume_sn_voxels::v31,-423.0437927246094,-2.083970546722412,0.9995914101600647,-0.6461822986602783,8.978452682495117,-1.046264410018921,0.7945936918258667,-2.0209414958953857,-0.6192096471786499,-0.9089912176132202,1.3702669143676758,5.768715858459473
volume_sn_voxels::v32,-472.9028015136719,-5.035292148590088,0.8147225379943848,-0.6959021687507629,-2.7845401763916016,-0.9730803966522217,0.5031777620315552,-2.2681760787963867,1.2269597053527832,-0.4378218352794647,0.8793830871582031,6.234445095062256
volume_sn_voxels::v33,-446.3527526855469,-8.704771995544434,0.6800694465637207,-0.7525352835655212,-20.552841186523438,-0.6115186214447021,-0.03688327968120575,-2.1309924125671387,4.000573635101318,0.12662914395332336,-5.762399673461914,6.092009544372559
volume_sn_voxels::v34,-121.15927124023438,-15.012228965759277,-1.0398509502410889,-0.2986070215702057,121.29480743408203,0.019247308373451233,0.9243695735931396,-0.3625018894672394,-3.681652069091797,-2.724992275238037,-3.349613666534424,3.141505241394043
volume_sn_voxels::v35,-153.31558227539062,-1.9754842519760132,-0.44420894980430603,-0.3470107316970825,101.88619232177734,-0.37889569997787476,0.5252668857574463,-0.7460393905639648,-4.408721446990967,-2.5930213928222656,-2.9809138774871826,3.083536386489868
volume_sn_voxels::v36,-179.3871307373047,1.4656842947006226,0.08781228959560394,-0.41891083121299744,80.26655578613281,-0.6366503834724426,0.3983493745326996,-0.9577851295471191,-4.1060662269592285,-2.3499655723571777,-2.845865249633789,3.878645420074463
volume_sn_voxels::v37,-254.2560272216797,0.8152727484703064,0.47024789452552795,-0.47169193625450134,60.5196533203125,-0.8240489959716797,0.4543425440788269,-0.9931226372718811,-3.4313676357269287,-1.9798011779785156,-2.600757122039795,4.447477340698242
volume_sn_voxels::v38,-311.5643310546875,-0.6617650389671326,1.011904239654541,-0.5965409278869629,33.78965759277344,-0.951910138130188,0.5256482362747192,-1.20749831199646,-1.8141627311706543,-1.5260355472564697,-0.06617367267608643,5.79310941696167
volume_sn_voxels::v39,-388.6488037109375,-5.210191249847412,1.1652531623840332,-0.7136608958244324,9.632575988769531,-1.0335091352462769,0.5340256094932556,-1.3909820318222046,-0.16135969758033752,-1.0928891897201538,1.778696060180664,6.992775917053223
volume_sn_voxels::v40,-397.7985534667969,-12.193238258361816,0.9138610363006592,-0.700482964515686,-1.3418079614639282,-0.9075108170509338,0.20694707334041595,-1.6606931686401367,1.7404247522354126,-0.7249734997749329,0.3028416633605957,6.914260387420654
volume_sn_voxels::v41,-58.9963264465332,-8.162786483764648,-1.1018799543380737,-0.3390261232852936,110.56774139404297,0.42536625266075134,0.6900849342346191,-0.5224197506904602,-3.1293528079986572,-2.358858108520508,-4.590331554412842,4.9106950759887695
volume_sn_voxels::v42,-109.50346374511719,-2.384606122970581,-0.5996526479721069,-0.44569653272628784,107.03144073486328,0.03671993315219879,0.5479565858840942,-0.7848531603813171,-4.175832748413086,-2.5746076107025146,-5.000542640686035,5.215919494628906
volume_sn_voxels::v43,-167.1040496826172,-1.1943227052688599,-0.040490441024303436,-0.5082288980484009,87.80762481689453,-0.386647492647171,0.393850713968277,-0.5555265545845032,-4.353466987609863,-2.333995819091797,-2.613159656524658,5.09652853012085
volume_sn_voxels::v44,-208.03160095214844,-3.007223129272461,0.32113200426101685,-0.5417107343673706,59.278282165527344,-0.5892397165298462,0.2953774333000183,-0.5146079063415527,-3.2343828678131104,-1.9061552286148071,-0.8979614973068237,5.50916862487793
volume_sn_voxels::v45,-313.307373046875,-9.960644721984863,0.8688212037086487,-0.6231725811958313,46.076576232910156,-0.9186779260635376,0.20223981142044067,-0.61685711145401,-2.2075741291046143,-1.8683507442474365,-0.6215180158615112,6.734851360321045
volume_sn_voxels::v46,-318.2609558105469,-17.006587982177734,0.769065260887146,-0.5488455891609192,15.845398902893066,-0.944251298904419,-0.006460562348365784,-0.5964542627334595,-0.09651850908994675,-1.126942753791809,2.017554759979248,5.934690475463867
volume_sn_voxels::v47,-329.3726501464844,-27.435020446777344,0.6635598540306091,-0.548157811164856,2.108053207397461,-0.8574010729789734,-0.3078877627849579,-0.8558061718940735,1.8684070110321045,-0.7474457621574402,0.5820427536964417,6.141618251800537
volume_sn_voxels::v48,-17.57781982421875,-15.488146781921387,-1.372085452079773,-0.29883086681365967,98.66317749023438,0.7199133634567261,0.5731725096702576,-0.7035784721374512,-2.6786041259765625,-1.8914421796798706,-6.417667388916016,5.728835582733154
volume_sn_voxels::v49,-63.66188049316406,-11.925126075744629,-0.9331221580505371,-0.40226510167121887,93.83883666992188,0.2889986038208008,0.36700111627578735,-0.42179644107818604,-3.616339921951294,-1.9811228513717651,-6.0051164627075195,5.790058135986328
volume_sn_voxels::v50,-121.5794906616211,-16.749025344848633,-0.3520502746105194,-0.5279188752174377,86.90943908691406,-0.07027716934680939,0.3046938180923462,-0.16834017634391785,-4.1223673820495605,-2.0490291118621826,-4.458428382873535,6.406020641326904
volume_sn_voxels::v51,-191.92510986328125,-24.052335739135742,0.0824565440416336,-0.5216396450996399,62.78715896606445,-0.46189913153648376,0.09328781813383102,0.13550949096679688,-3.381366014480591,-1.7307339906692505,-0.2867521345615387,6.305051326751709
volume_sn_voxels::v52,-269.791748046875,-37.62984848022461,0.41116172075271606,-0.4845942258834839,44.79106903076172,-0.7944993376731873,-0.15893930196762085,0.3446798026561737,-1.7912330627441406,-1.5573019981384277,1.035185694694519,6.2718939781188965
volume_sn_voxels::v53,-309.7771911621094,-50.0274543762207,0.42144957184791565,-0.46297314763069153,18.576120376586914,-0.9553253054618835,-0.4769867956638336,0.12265468388795853,0.27892518043518066,-1.2330081462860107,1.5789192914962769,6.384499549865723
volume_sn_voxels::v54,-19.31498908996582,-61.001617431640625,-1.275086760520935,-0.2228938490152359,82.17832946777344,0.5179795026779175,0.4919127821922302,-0.07935601472854614,-3.114642858505249,-1.3606106042861938,-4.328363418579102,6.42743444442749
volume_sn_voxels::v55,-65.37506866455078,-68.5113296508789,-0.8777090907096863,-0.3800441026687622,72.4539794921875,0.19362130761146545,0.40084370970726013,0.17786666750907898,-3.311453104019165,-1.378769040107727,-2.7445480823516846,7.2734055519104
