Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
-0.27619317,-1.2353438,-8.2130064e-05,0.21508057,2.8866546,0.007149199,-0.5067776,-0.92182374,0.84803456,0.4855735,0.8394729,1.0628966,-0.7900691,1.6006043,-0.051959157,0.87492436,0.5819487,0.013772802,0.45786414,-1.2650759
1.4194453,-1.7867814,0.50215876,-0.4372365,-0.47871017,0.6886373,1.5497459,0.8694321,-0.30478683,-1.0831733,-0.96510357,-0.38208157,0.6273167,-0.9179316,-0.52639025,0.31414962,-0.586589,-0.8464944,0.2843391,1.0813146
-0.49599174,0.105725,0.1964888,0.36799237,0.4623472,-0.51004076,-0.6619092,-0.4089291,-0.959483,-0.14243385,1.0987618,0.75659275,0.33967692,-0.24465668,0.18018565,0.2210304,0.68702745,-0.59984565,0.20634499,0.09286903
-0.54245096,-1.1231655,0.7912722,-0.046831913,-0.7006491,-1.207563,0.002759802,1.1584061,2.7647288,-1.0789376,-0.52173775,-1.0271235,-0.1725208,-0.3448992,1.0147972,0.6428289,-0.11738964,0.38570207,-0.36763173,-0.27600044
1.0722349,-0.058475927,0.2770014,-0.00012479075,0.029486386,0.3772901,-0.8902102,0.33011702,-1.7345525,0.60079753,-0.22105093,-1.1501654,-1.995986,-0.75258994,0.4384828,1.7757353,-0.49913943,0.50577945,0.38120335,-1.0484486
2.3610718,-0.37222844,-1.1975071,1.8273025,-0.2957843,-0.6927637,-1.6540507,0.2675156,0.015340278,0.30683106,-0.547278,1.4281036,0.31132892,0.7582035,-0.010572791,0.48898694,-1.9306988,-0.17930695,0.72132134,0.8902995
0.51511896,0.538773,0.37329197,1.3871696,1.093474,0.99774307,-0.3914347,-1.6212875,-0.2880051,2.5287278,0.80986583,-0.96937007,-0.3770567,0.052206557,0.45702857,-0.5092729,-0.19217664,0.20692432,0.6146896,0.3391309
-0.50855315,-0.79600394,0.32537654,-0.15672041,0.88596964,-0.4239778,-0.39287066,2.1039891,-0.2256885,0.8253232,-0.663889,-1.6932364,-1.4027771,0.788924,1.0530344,-0.7109221,-1.0108578,0.5223492,0.34730348,0.9419642
2.1085527,1.0201192,0.6285613,-0.5829143,-0.0024650407,1.3126758,0.6194434,-1.2642344,0.44177818,0.41602167,-0.83585733,-1.4339659,-0.7010213,0.36654752,-2.0991433,-0.586758,-1.3016766,-0.696109,-0.4732047,-0.969368
0.4203614,-0.14528842,-0.95885926,0.31852636,0.29777443,-1.1170236,0.16416687,0.14799139,-1.2921371,0.50206983,-2.4665492,-0.28263435,-1.5217546,-0.34375516,-0.5824022,-0.87146163,0.83698404,0.97758883,-0.82895875,0.7904779
-0.09519596,2.0905917,0.35204026,0.66952306,-1.3370943,-0.047040265,2.190737,-0.20360741,-0.46683833,0.66867995,-0.7488867,1.1799973,2.0340092,-1.1972066,-2.4074395,-1.0339108,1.3873705,-0.4835778,-0.055342015,0.67497796
0.06843656,-1.5970514,-1.5476767,0.1047213,1.2513398,-1.3054147,-0.089185834,0.5459424,-0.13145865,0.41430375,-1.0404775,0.79069656,0.41796836,0.06841207,-0.68800974,1.0921183,-0.4997725,0.51784897,-1.328832,0.9469506
0.59515023,-0.74360514,-0.23723541,2.2417188,-2.3374605,-1.2092714,0.72192675,-1.4773378,0.85429436,0.3363267,0.55767155,1.9961455,0.047146685,-0.45960847,-1.1536618,-0.2286437,0.48663244,-0.03814935,0.2295932,-0.38723516
-1.3684655,0.24126308,-0.5737435,0.020832915,-0.21729277,0.0025400154,-0.47276184,-0.3893644,0.5455145,0.1980488,-1.0187453,0.44446146,0.61199915,2.0844765,0.9004221,-0.39100313,-0.9606937,-1.0276031,-2.347254,1.4297506
0.07117039,-2.4441445,-1.5295919,0.30064753,-1.6432632,-1.2636638,-1.6795785,-0.02255918,-0.5889956,0.06716791,-0.07431609,-1.1524857,1.0952002,-1.7242391,0.5637655,-0.9690085,0.051730532,0.11196287,-0.9535718,1.8567066
-0.12787955,0.5017228,0.71926785,-0.0839015,0.10744109,-0.6051097,0.030904071,-1.2116247,-0.40501958,0.29851076,-0.102274984,-0.7716775,0.31677774,0.2973703,-0.37499106,2.3469555,-0.7125446,0.49197537,-0.68169826,-1.2447697
0.4265364,0.33428517,-0.34447026,0.26724517,-0.21144795,0.7941614,-0.5871229,0.31041816,0.31454343,0.09240649,-0.61340344,-0.4540438,-0.2995018,-1.5425764,-1.7522937,-0.31801757,0.096806295,0.08777696,-0.80236095,0.056331463
0.9856272,-1.1942087,-2.6160312,-0.30913314,-0.6040014,0.08936863,0.42419535,-0.018898927,1.5256733,0.88589174,-1.9801213,1.0813079,-0.6870921,-1.1738952,-0.5292569,-1.4971782,1.6805669,-0.022355799,-0.16922475,-0.7978639
-1.6038603,-0.37698206,0.042965382,1.5840658,0.026113069,-0.14070438,-0.41935077,-0.67096,-0.86004394,0.7522534,0.6200686,0.40235642,0.24152334,0.92195195,0.47581956,-1.1244348,-1.3667581,0.8530329,0.94034994,0.7669318
-0.92822605,0.14287059,-0.010577656,-0.0019115135,-0.9287266,-1.3712724,0.16679403,0.7957222,-1.523884,0.34300447,0.46845907,-1.6323124,0.5575592,-1.5142843,-0.037743963,-0.20953576,1.6399988,0.017685061,-0.5163843,0.16773558
-0.5450066,-0.81803906,0.5104186,1.0844579,0.012751813,0.40920207,-0.6212791,-1.0435027,-0.6173758,-0.30649033,-0.7994347,1.7007318,1.3584502,-0.068005346,-0.7061153,-1.4001853,-1.2712474,0.90424156,-1.0830003,1.5307945
-0.05018905,1.8221473,0.614754,1.7789763,0.08554516,0.24838145,0.29350019,1.1964626,0.41426226,0.099963464,-1.893606,0.29289302,0.11725895,1.0729508,0.27092844,-1.5234752,-0.4240768,0.38741207,0.58113724,1.6859185
