Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_60,-1.0976425,-0.02901361,0.009803432,-0.10029896,-0.6728414,-0.4966735,0.05252549,2.2984052,-1.6616759,-1.0172179,0.5215278,0.12696806,-0.367214,1.1714514,-0.09729963,0.05210804,-0.1516896,0.13732173,-0.7793811,-0.7701651
Subject_61,-1.0251377,-0.65664977,-1.8587248,0.5504531,0.110712625,-0.53725165,-0.9364592,-0.617171,0.51498437,-0.1272836,0.8376076,0.42541265,0.7898509,0.44869858,-0.38057458,-2.3948348,-0.052013718,0.08825006,-0.9228888,-0.30873486
Subject_62,-0.5168696,0.49399966,-0.06149226,-0.02638129,0.30882138,1.449483,0.10605704,-1.0085905,0.4156442,0.930316,0.115198344,0.13638054,1.2718712,0.8227879,1.2954764,0.005303041,-0.43871248,-2.1391861,-1.1972659,-1.0405037
Subject_63,0.035322845,0.5147646,-0.3016102,0.37905282,0.11472979,-0.3216586,0.63081706,1.2297283,0.6496163,0.35511807,-0.24967387,-1.0291108,0.6402696,1.0941277,-0.9688021,-0.916592,-1.4892187,0.1934818,0.11906357,0.0035225563
Subject_64,-1.1327517,-0.47003475,-0.31363815,-0.01636572,-2.80904,-1.5434141,-0.15193032,0.035385367,0.06830271,-0.40577635,-0.453413,1.4204487,-0.88388634,-1.8407931,0.06399176,-0.30110922,0.3485197,-0.9062012,-0.3883428,-1.2233806
Subject_65,1.203891,1.2974519,-0.6906963,0.05399498,-1.6029397,1.5890552,1.2831447,-2.1169467,0.020643609,-1.1493936,0.71450955,0.84379554,2.7376294,-0.30083656,1.1523902,-0.32290387,-0.19197913,0.7238687,0.3067082,-1.8399553
Subject_66,0.9295568,0.85852695,-0.34565285,-0.27656916,1.6273103,0.14636445,-1.6526563,0.36375973,0.71881205,0.19096407,1.1570517,0.1835894,-0.06144493,-0.22479035,0.25641444,0.14820294,0.06503126,-0.596891,1.5438001,-0.611366
Subject_67,-0.384123,-2.1388779,0.5108121,1.0305467,0.6173726,1.1954348,-1.7094332,0.010322262,0.594608,1.8037279,0.24451686,-0.43178535,1.0447598,0.74267644,1.1239352,-1.249468,-0.05063876,-0.86042553,-0.5930624,0.27897528
Subject_68,-0.93237793,0.08259305,-0.0063169384,0.30194163,-1.3634989,2.0944915,-1.7649529,0.30160028,-2.0357838,0.39958528,-0.13024494,0.33528858,-1.0082992,0.9849508,-1.6962613,-0.6541218,0.23453085,-0.2661318,-0.56172585,0.010760167
Subject_69,-0.35907772,-0.4254424,-0.16129266,-0.02252895,1.4773289,-1.1566935,0.6477754,-0.08739773,0.6550776,-0.72519016,0.98299766,0.60153615,0.026507137,-0.09720788,-0.007175471,0.5909496,-0.5164788,-1.0700108,0.58816844,-0.073852874
